epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,5951.16,1.28035,0.90057,1.46279,0.77303,0.77699,0.81334,0.46854,1.49714,0.91675,1.64023,0.000200555,0.000200555,0.000200555
58,6101.76,1.27103,0.88511,1.44947,0.79867,0.75768,0.81508,0.47329,1.50016,0.89958,1.64124,0.000190404,0.000190404,0.000190404
59,6252.29,1.26342,0.88382,1.43909,0.80483,0.7708,0.82774,0.47518,1.52282,0.89778,1.65496,0.000180254,0.000180254,0.000180254
60,6402.93,1.26319,0.87837,1.44122,0.77847,0.77324,0.82114,0.48288,1.48224,0.89895,1.62753,0.000170103,0.000170103,0.000170103
61,6553.66,1.24379,0.86331,1.44121,0.78937,0.77182,0.82317,0.48195,1.47858,0.90222,1.61952,0.000159952,0.000159952,0.000159952
62,6704.23,1.23917,0.8538,1.42666,0.7796,0.77723,0.82363,0.48241,1.48482,0.8933,1.6273,0.000149801,0.000149801,0.000149801
63,6854.78,1.24263,0.8434,1.43373,0.80252,0.77509,0.82752,0.48427,1.49074,0.87452,1.63826,0.00013965,0.00013965,0.00013965
64,7005.32,1.22733,0.83799,1.41846,0.82388,0.76648,0.83397,0.48784,1.4936,0.87311,1.64161,0.0001295,0.0001295,0.0001295
65,7156.08,1.21763,0.8293,1.41633,0.80367,0.78069,0.83121,0.48956,1.4851,0.86834,1.62938,0.000119349,0.000119349,0.000119349
66,7307.59,1.22432,0.70419,1.45988,0.81185,0.77417,0.83833,0.49273,1.48687,0.86085,1.62958,0.000109198,0.000109198,0.000109198
67,7457.91,1.20335,0.6787,1.44805,0.81089,0.78528,0.83986,0.49683,1.48036,0.84848,1.63207,9.90472e-05,9.90472e-05,9.90472e-05
68,7608.08,1.19123,0.67423,1.4382,0.81689,0.77259,0.8368,0.49398,1.49349,0.86196,1.6524,8.88964e-05,8.88964e-05,8.88964e-05
69,7758.31,1.17822,0.66036,1.43054,0.80732,0.7895,0.83505,0.4928,1.49237,0.85465,1.64738,7.87456e-05,7.87456e-05,7.87456e-05
70,7908.35,1.17493,0.66215,1.42521,0.81036,0.7825,0.83249,0.49127,1.49179,0.85146,1.65149,6.85948e-05,6.85948e-05,6.85948e-05
71,8058.49,1.17567,0.65429,1.42882,0.81105,0.78578,0.83661,0.49611,1.48808,0.85152,1.64335,5.8444e-05,5.8444e-05,5.8444e-05
72,8208.6,1.1606,0.64665,1.41762,0.81746,0.78676,0.83504,0.49647,1.48257,0.85388,1.64439,4.82932e-05,4.82932e-05,4.82932e-05
73,8358.75,1.16113,0.63467,1.41641,0.81826,0.7784,0.83684,0.50043,1.47716,0.85486,1.63934,3.81424e-05,3.81424e-05,3.81424e-05
74,8508.94,1.14835,0.62455,1.40631,0.82392,0.78209,0.83807,0.50012,1.47652,0.85417,1.64172,2.79916e-05,2.79916e-05,2.79916e-05
75,8659.15,1.13446,0.62708,1.40326,0.80911,0.79031,0.83945,0.50013,1.47961,0.85069,1.64661,1.78408e-05,1.78408e-05,1.78408e-05
